mcs, mod_ord, R1024, SE
0, 2, 120.00, 0.2344
1, 2, 157.00, 0.3066
2, 2, 193.00, 0.3770
3, 2, 251.00, 0.4902
4, 2, 308.00, 0.6016
5, 2, 379.00, 0.7402
6, 2, 449.00, 0.8770
7, 2, 526.00, 1.0273
8, 2, 602.00, 1.1758
9, 2, 679.00, 1.3262
10, 4, 340.00, 1.3281
11, 4, 378.00, 1.4766
12, 4, 434.00, 1.6953
13, 4, 490.00, 1.9141
14, 4, 553.00, 2.1602
15, 4, 616.00, 2.4063
16, 4, 658.00, 2.5703
17, 6, 438.00, 2.5664
18, 6, 466.00, 2.7305
19, 6, 517.00, 3.0293
20, 6, 567.00, 3.3223
21, 6, 616.00, 3.6094
22, 6, 666.00, 3.9023
23, 6, 719.00, 4.2129
24, 6, 772.00, 4.5234
25, 6, 822.00, 4.8164
26, 6, 873.00, 5.1152
27, 6, 910.00, 5.3320
28, 6, 948.00, 5.5547
